vc:FOOD-0019|obo:FOODON_03316428
vc:Glycine|obo:CHEBI_15428
vc:FOOD-412|obo:FOODON_03307119
vc:FOOD-1718|obo:FOODON_03303578
vc:FOOD-1043|obo:FOODON_00003148
vc:FOOD-2005|obo:FOODON_03303588
vc:FOOD-411|obo:FOODON_03301722
vc:Threonine|obo:CHEBI_26986
vc:FOOD-1713|obo:FOODON_03303502
vc:FOOD-8026|obo:FOODON_03311343
vc:Mushrooms|obo:FOODON_03301303
vc:FOOD-1314|obo:FOODON_03411224
vc:FOOD-15|obo:FOODON_03307541
vc:FOOD-73|obo:FOODON_03302549
vc:FOOD-1726|obo:FOODON_00003247
vc:VitaminB12|obo:FOODON_03413761
vc:Lactose|obo:CHEBI_17716
vc:FOOD-1324|obo:FOODON_03411906
vc:FOOD-052|obo:FOODON_00003252
vc:FOOD-1513|obo:FOODON_03316424
vc:FolicAcid|obo:CHEBI_37445
vc:FOOD-900505|obo:FOODON_00002892
vc:FOOD-888015|obo:FOODON_03310571
vc:FOOD-602004|obo:FOODON_03411950
vc:FOOD-900503|obo:FOODON_03305617
vc:FOOD-312|obo:FOODON_03301570
vc:FOOD-1311|obo:FOODON_03411293
vc:FOOD-334|obo:FOODON_03309709
vc:FOOD-401|obo:FOODON_03301701
vc:VitaminB6|obo:CHEBI_27306
vc:FOOD-309|obo:FOODON_03301713
vc:FOOD-1800|obo:FOODON_03316061
vc:FOOD-333|obo:FOODON_00002687
vc:FOOD-19032|obo:FOODON_03305848
vc:VinegarDressing|obo:FOODON_03301705
vc:LinolenicAcid|obo:CHEBI_25048
vc:FOOD-700418|obo:FOODON_03411335
vc:FOOD-420|obo:FOODON_03302976
vc:Beverages|obo:FOODON_00003202
vc:Aminoacid|obo:CHEBI_33709
vc:Lunch|obo:NCIT_C80250
vc:FOOD-805941|obo:FOODON_03305781
vc:FOOD-318|obo:FOODON_03301545
vc:FOOD-666011|obo:FOODON_03400274
vc:FOOD-60089|obo:FOODON_03304555
vc:Leucine_6000|obo:CHEBI_25017
vc:FOOD-1702|obo:FOODON_03315068
vc:FOOD-9039|obo:FOODON_03301386
vc:FOOD-805958|obo:FOODON_03420156
vc:FOOD-19021|obo:FOODON_00001823
vc:RoastedNuts|obo:FOODON_03305829
vc:FOOD-888003|obo:FOODON_00003024
vc:FOOD-666009|obo:FOODON_03302414
vc:FOOD-8685|obo:FOODON_00002716
vc:FOOD-422|obo:FOODON_03307244
vc:FOOD-100004|obo:FOODON_00001265
vc:FOOD-066|obo:FOODON_03308312
vc:FOOD-888001|obo:FOODON_03302655
vc:FOOD-900606|obo:FOODON_03301146
vc:FOOD-505|obo:FOODON_03310752
vc:FOOD-1208|obo:FOODON_03310590
vc:FOOD-906|obo:FOODON_03310357
vc:FOOD-1622|obo:FOODON_03310016
vc:FOOD-1155|obo:FOODON_03311682
vc:FOOD-1101|obo:FOODON_03305825
vc:FOOD-100051|obo:FOODON_00002805
vc:FOOD-1600|obo:FOODON_03305803
vc:FOOD-100243|obo:FOODON_03317658
vc:CannedMeat|obo:FOODON_03306545
vc:FOOD-9029|obo:FOODON_03312068
vc:FOOD-100187|obo:FOODON_03316385
vc:FOOD-1504|obo:FOODON_03307132
vc:Arginine_5200|obo:CHEBI_29016
vc:Arginine_9800|obo:CHEBI_29016
vc:FOOD-9061|obo:FOODON_03306818
vc:FOOD-700082|obo:FOODON_03315784
vc:FOOD-1717|obo:FOODON_00003255
vc:FOOD-590|obo:FOODON_03301269
vc:FOOD-1205|obo:FOODON_03310938
vc:FOOD-100176|obo:FOODON_03301962
vc:PowderedMilk|obo:FOODON_00002174
vc:ProcessedVegetables|obo:FOODON_03315084
vc:CandiedFruits|obo:FOODON_03305040
vc:FOOD-19021|obo:FOODON_03316844
vc:FOOD-19065|obo:FOODON_03302180
vc:FOOD-100188|obo:FOODON_03305040
vc:FOOD-100139|obo:FOODON_03303421
vc:FOOD-023|obo:FOODON_00002472
vc:FOOD-8669|obo:FOODON_03307325
vc:RedMeat|obo:FOODON_03301297
vc:FOOD-1620|obo:FOODON_03306002
vc:FOOD-100196|obo:FOODON_03301859
vc:FOOD-9026|obo:FOODON_03309974
vc:FOOD-0008|obo:FOODON_03301449
vc:FOOD-702404|obo:FOODON_03303116
vc:FreshFruits|obo:FOODON_00002472
vc:FreshFish|obo:FOODON_03315446
vc:FOOD-1512|obo:FOODON_03309036
vc:FOOD-100178|obo:FOODON_03301147
vc:FOOD-700178|obo:FOODON_03316171
vc:FOOD-700405|obo:FOODON_03309631
vc:FOOD-100183|obo:FOODON_00003135
vc:Rice|obo:FOODON_03301641
vc:FOOD-342|obo:FOODON_03304656
vc:FOOD-307|obo:FOODON_03306698
vc:Phenylalanine|obo:CHEBI_28044
vc:FOOD-322|obo:FOODON_03301704
vc:FOOD-30039|obo:FOODON_03304608
vc:FOOD-8019|obo:FOODON_00003043
vc:FOOD-14|obo:FOODON_03309657
vc:FOOD-60088|obo:FOODON_03302360
vc:FOOD-71787|obo:FOODON_03303508
vc:FOOD-74|obo:FOODON_03301595
vc:FOOD-015|obo:FOODON_03304911
vc:FOOD-317|obo:FOODON_00002922
vc:FOOD-602073|obo:FOODON_03414639
vc:FOOD-427|obo:FOODON_03301580
vc:Cystine|obo:CHEBI_17376
vc:FOOD-18|obo:FOODON_03307663
vc:FOOD-8058|obo:FOODON_03310760
vc:FOOD-60092|obo:FOODON_03302651
vc:FOOD-100|obo:FOODON_00002753
vc:WhiteBread|obo:FOODON_03301055
vc:FOOD-77|obo:FOODON_00003000
vc:FOOD-070|obo:FOODON_03315272
vc:FOOD-1710|obo:FOODON_03310415
vc:FOOD-100097|obo:FOODON_03308676
vc:FOOD-100217|obo:FOODON_03301528
vc:FOOD-8030|obo:FOODON_00002757
vc:FOOD-19007|obo:FOODON_03304422
vc:FOOD-888003|obo:FOODON_03311872
vc:FOOD-1505|obo:FOODON_03306691
vc:FOOD-9600|obo:FOODON_03310114
vc:FOOD-805678|obo:FOODON_03306350
vc:FOOD-800188|obo:FOODON_03304420
vc:FOOD-1706|obo:FOODON_03302458
vc:FOOD-8010|obo:FOODON_03301201
vc:FOOD-8004|obo:FOODON_03301173
vc:FOOD-999964|obo:FOODON_03317003
vc:FOOD-3014|obo:FOODON_03304945
vc:FOOD-2001|obo:FOODON_03305040
vc:FOOD-1633|obo:FOODON_03307443
vc:FOOD-5|obo:FOODON_03304560
vc:FOOD-805951|obo:FOODON_03316417
vc:Cereals|obo:FOODON_03316213
vc:FOOD-700407|obo:FOODON_03301805
vc:FOOD-504|obo:FOODON_03301873
vc:FOOD-4|obo:FOODON_03306062
vc:FOOD-1502|obo:FOODON_03317246
vc:FOOD-100004|obo:FOODON_03310271
vc:FOOD-700484|obo:FOODON_03301371
vc:FOOD-666011|obo:FOODON_03316943
vc:FOOD-805249|obo:FOODON_03315769
vc:FOOD-700483|obo:FOODON_03307712
vc:FOOD-8729|obo:FOODON_03308073
vc:FOOD-8063|obo:FOODON_03302113
vc:FOOD-1209|obo:FOODON_03304093
